id,title,url,img_url,chanell,rating
-ZS6FI24roY,"25 Shakespearean character",http://www.youtube.com/watch?v=-ZS6FI24roY&feature=youtube_gdata,http://i1.ytimg.com/vi/-ZS6FI24roY/hqdefault.jpg,khanacademy,4.4545455
1_ymCFwbGGY,"5 Book costs",http://www.youtube.com/watch?v=1_ymCFwbGGY&feature=youtube_gdata,http://i1.ytimg.com/vi/1_ymCFwbGGY/hqdefault.jpg,khanacademy,5.0
4C5CdwsUnLw,"Esther counts to 100",http://www.youtube.com/watch?v=4C5CdwsUnLw&feature=youtube_gdata,http://i1.ytimg.com/vi/4C5CdwsUnLw/hqdefault.jpg,khanacademy,4.2
R-NeYKSEqns,"Analyzing event probability for independence",http://www.youtube.com/watch?v=R-NeYKSEqns&feature=youtube_gdata,http://i1.ytimg.com/vi/R-NeYKSEqns/hqdefault.jpg,khanacademy,4.428571
TQJQeTpH_lw,"Filling out frequency table for independent events",http://www.youtube.com/watch?v=TQJQeTpH_lw&feature=youtube_gdata,http://i1.ytimg.com/vi/TQJQeTpH_lw/hqdefault.jpg,khanacademy,4.428571
pPnxPrhf6Ww,"Comparing means of distributions",http://www.youtube.com/watch?v=pPnxPrhf6Ww&feature=youtube_gdata,http://i1.ytimg.com/vi/pPnxPrhf6Ww/hqdefault.jpg,khanacademy,4.5
eLyLbaXfJXo,"Means and medians of different distributions",http://www.youtube.com/watch?v=eLyLbaXfJXo&feature=youtube_gdata,http://i1.ytimg.com/vi/eLyLbaXfJXo/hqdefault.jpg,khanacademy,5.0
jLFeqQxGtOc,"Statistical significance of experiment",http://www.youtube.com/watch?v=jLFeqQxGtOc&feature=youtube_gdata,http://i1.ytimg.com/vi/jLFeqQxGtOc/hqdefault.jpg,khanacademy,5.0
z-Qi4w6Xkuc,"Types of statistical studies",http://www.youtube.com/watch?v=z-Qi4w6Xkuc&feature=youtube_gdata,http://i1.ytimg.com/vi/z-Qi4w6Xkuc/hqdefault.jpg,khanacademy,4.7714286
MJBjGnR6vlk,"Modeling with trig function with shift",http://www.youtube.com/watch?v=MJBjGnR6vlk&feature=youtube_gdata,http://i1.ytimg.com/vi/MJBjGnR6vlk/hqdefault.jpg,khanacademy,4.8
9A8wM1UMLyo,"Force contribution while pushing box",http://www.youtube.com/watch?v=9A8wM1UMLyo&feature=youtube_gdata,http://i1.ytimg.com/vi/9A8wM1UMLyo/hqdefault.jpg,khanacademy,5.0
KNklNvGof8o,"Three way tug of war vectors",http://www.youtube.com/watch?v=KNklNvGof8o&feature=youtube_gdata,http://i1.ytimg.com/vi/KNklNvGof8o/hqdefault.jpg,khanacademy,4.647059
cf1-CwrDwrA,"Total displacement while hiking",http://www.youtube.com/watch?v=cf1-CwrDwrA&feature=youtube_gdata,http://i1.ytimg.com/vi/cf1-CwrDwrA/hqdefault.jpg,khanacademy,5.0
